Rk,Player,BPM...3,MP▼,From,To,Age,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM...18,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team,Player-additional
74,Damian Lillard,5.6,5561,2020-21,2022-23,30-32,154,154,21.2,123,120,19.6,1.6,0.183,7.2,-1.5,5.6,10.8,24.7,1.7,12,6.8,34.6,1.1,0.8,11.6,31.9,G,POR,lillada01
75,Coby White,-1.8,5561,2020-21,2022-23,20-22,204,73,7.9,109,115,3.5,4.4,0.068,-0.9,-0.9,-1.8,0.3,12.3,1.2,12.3,6.8,18,1.1,0.5,11.7,20.3,G,CHI,whiteco01
76,O.G. Anunoby,0.6,5547,2020-21,2022-23,23-25,158,158,11.5,113,112,5.1,6.4,0.099,0.2,0.5,0.6,3.7,14.9,4.2,12.9,8.3,9.4,2.4,1.9,11.2,19.8,F,TOR,anunoog01
77,LeBron James,7.2,5542,2020-21,2022-23,36-38,156,155,18.7,115,111,11.3,7.4,0.162,6.1,1.1,7.2,12.9,24.8,3.1,21.4,12.4,34.7,1.5,1.8,12.9,32.5,F-G,LAL,jamesle01
78,Shai Gilgeous-Alexander,5.2,5538,2020-21,2022-23,22-24,159,159,19.5,119,113,13.9,5.6,0.169,4.4,0.9,5.2,10.1,23.8,2.1,12.7,7.3,28.8,1.8,2.2,11.1,31,G,OKC,gilgesh01
79,Reggie Jackson,-2.3,5538,2020-21,2022-23,30-32,210,158,4.7,104,115,0.1,4.7,0.041,-1.3,-1,-2.3,-0.5,12.1,1.8,10,6,21.6,1.3,0.4,12.3,23.4,G,DENLAC,jacksre01
80,Bruce Brown,0,5505,2020-21,2022-23,24-26,217,113,13.5,118,113,7.3,6.1,0.117,-0.7,0.6,0,2.7,14.6,5.7,14.7,10.3,12.8,2,2.1,11.2,16.4,G-F,BRKDEN,brownbr01
81,Caris LeVert,-0.4,5504,2020-21,2022-23,26-28,179,118,9,109,113,3.5,5.6,0.079,-0.2,-0.2,-0.4,2.3,14.7,2.7,11.9,7.3,21.3,1.7,1.2,10.9,23.6,G-F,BRKCLEIND,leverca01
82,Brandon Ingram,2,5500,2020-21,2022-23,23-25,161,161,12.6,113,115,8.2,4.3,0.11,2.7,-0.7,2,5.5,19,1.8,15.7,8.7,25.8,1,1.4,12,29.2,F,NOP,ingrabr01
83,Luguentz Dort,-2.9,5480,2020-21,2022-23,21-23,177,176,4.7,105,116,0.5,4.2,0.041,-2,-0.9,-2.9,-1.3,11.3,3.9,10.5,7.1,8.9,1.4,1,9.4,21.4,G,OKC,dortlu01
84,Lauri Markkanen,1.8,5468,2020-21,2022-23,23-25,178,153,16.2,121,113,10.6,5.6,0.142,2.4,-0.7,1.8,5.2,17.9,4.5,18.9,11.8,7,1,1.3,8.1,22.6,F-C,CHICLEUTA,markkla01
85,Kyle Lowry,1.3,5452,2020-21,2022-23,34-36,164,153,13.9,117,113,8.1,5.8,0.123,0.8,0.5,1.3,4.5,14.7,2.3,13.6,7.8,29.4,1.5,1,17.2,18.7,G,MIATOR,lowryky01
86,Terance Mann,-0.4,5452,2020-21,2022-23,24-26,229,79,13.5,121,114,8.3,5.2,0.119,-0.6,0.2,-0.4,2.2,13.5,4.9,13.8,9.5,13,1.1,0.9,10.6,15.6,G-F,LAC,mannte01
87,Immanuel Quickley,1,5389,2020-21,2022-23,21-23,223,27,14.1,117,114,8.7,5.5,0.126,1,0,1,4.1,15.6,2.3,12.3,7.3,19.5,1.5,0.5,9.3,22.4,G,NYK,quickim01
88,Tim Hardaway Jr.,-0.6,5382,2020-21,2022-23,28-30,183,96,8.6,112,116,4.7,3.9,0.077,0.5,-1.2,-0.6,1.9,13.6,1.1,12.2,6.7,9.8,1.1,0.5,6,22,G,DAL,hardati02
89,Mason Plumlee,1.5,5346,2020-21,2022-23,30-32,208,189,17.8,127,111,11.2,6.6,0.16,0,1.5,1.5,4.7,17.7,11,25.3,18.1,18,1.4,2.5,17.9,14.4,C-F,CHODETLAC,plumlma01
90,Kyle Anderson,2.4,5328,2020-21,2022-23,27-29,207,126,14.2,116,109,6.4,7.8,0.128,0.3,2.1,2.4,5.9,15.6,3.8,19.2,11.4,19.3,2.1,2.7,12.6,16.3,F-G,MEMMIN,anderky01
91,Scottie Barnes,0.6,5295,2021-22,2022-23,20-21,151,150,11.6,114,113,6,5.7,0.106,0.5,0.1,0.6,3.5,15.9,7.4,15.5,11.2,17.4,1.5,2.1,11.9,19.7,G-F,TOR,barnesc01
92,Malik Beasley,-1.1,5283,2020-21,2022-23,24-26,197,81,5.6,108,117,2.4,3.2,0.051,0.3,-1.4,-1.1,1.2,12.1,1.8,12,6.9,9.2,1.2,0.5,7.2,21.2,G,LALMINUTA,beaslma01
93,Deni Avdija,-2.3,5261,2020-21,2022-23,20-22,212,80,5.9,105,113,0.5,5.4,0.054,-2.7,0.5,-2.3,-0.4,10.5,3.2,21,12.3,11.3,1.4,1.4,13,15.4,G-F,WAS,avdijde01
94,Bradley Beal,2.2,5259,2020-21,2022-23,27-29,150,150,10.7,112,116,7.1,3.6,0.098,3.5,-1.3,2.2,5.6,20.3,3.2,10.5,6.9,25.6,1.4,1.1,12,31.6,G,WAS,bealbr01
95,P.J. Tucker,-2,5257,2020-21,2022-23,35-37,198,178,8.5,116,114,3.3,5.2,0.078,-2.6,0.7,-2,0.1,7.8,5.4,13.7,9.6,6.9,1.3,0.9,14.6,8.6,F,HOUMIAMILPHI,tuckepj01
96,Kelly Oubre Jr.,-1.5,5234,2020-21,2022-23,25-27,179,103,7.1,107,113,2,5.1,0.065,-0.5,-1,-1.5,0.6,14.4,4.6,13.4,8.9,6.1,1.8,1.6,6.9,23.7,F,CHOGSW,oubreke01
97,Norman Powell,0.1,5230,2020-21,2022-23,27-29,174,107,11,116,117,7.9,3.1,0.101,1.1,-0.9,0.1,2.9,16.5,1.8,9.6,5.6,10.2,1.6,1,10.1,23.8,G,LACPORTOR,powelno01
98,Kyrie Irving,4.4,5218,2020-21,2022-23,28-30,143,143,18.2,120,115,13.6,4.6,0.167,5,-0.6,4.4,8.4,22.9,2.8,11.7,7.4,26.5,1.7,1.7,9.4,29.5,G,BRKDAL,irvinky01
99,Bobby Portis,0.7,5218,2020-21,2022-23,25-27,208,88,15.6,117,110,8.2,7.4,0.143,1.4,-0.7,0.7,3.6,18.3,9.5,26.1,18.1,7.5,1.2,1.6,8.6,21.3,F,MIL,portibo01
100,Khris Middleton,1.3,5211,2020-21,2022-23,29-31,167,153,13.7,114,113,8.2,5.4,0.126,1.6,-0.3,1.3,4.4,18.1,2.6,15.3,9.1,25.3,1.6,0.6,13.6,26.1,F-G,MIL,middlkh01
101,LaMelo Ball,2.7,5159,2020-21,2022-23,19-21,162,142,10.5,109,112,4.9,5.6,0.098,2.6,0.1,2.7,6.2,18.6,4.3,17.3,10.7,35.9,2.3,1.1,15.3,28,G,CHO,ballla01
102,Devonte Graham,-0.2,5159,2020-21,2022-23,25-27,204,115,8.7,113,117,5.6,3.1,0.081,0.7,-0.9,-0.2,2.3,13,1.6,8,4.8,22.3,1.6,0.6,10.3,19.5,G,CHONOPSAS,grahade01
103,Christian Wood,1.6,5158,2020-21,2022-23,25-27,176,125,12.4,114,113,7,5.4,0.116,1.9,-0.3,1.6,4.6,19.9,5.8,28.4,16.9,11.3,1.1,3.2,11,25,F,DALHOU,woodch01
104,Monte Morris,0.1,5130,2020-21,2022-23,25-27,184,148,12.5,122,116,9,3.5,0.117,0.7,-0.6,0.1,2.7,14.6,1.4,9.9,5.8,22,1.3,0.7,8.8,16.6,G,DENWAS,morrimo01
105,Karl-Anthony Towns,4.5,5122,2020-21,2022-23,25-27,153,153,18.3,119,112,12.4,5.9,0.172,4,0.5,4.5,8.3,22.8,7.7,24.1,15.8,20.3,1.2,2.8,13.9,27.8,C-F,MIN,townska01
106,Dillon Brooks,-3.5,5096,2020-21,2022-23,25-27,172,171,4.5,103,114,-0.6,5.2,0.043,-2.7,-0.8,-3.5,-1.9,11.5,2.6,8.7,5.6,12.4,1.7,0.9,9,24.7,F-G,MEM,brookdi01
107,Grant Williams,-1.4,5058,2020-21,2022-23,22-24,219,53,10.6,116,112,4.4,6.2,0.101,-2.2,0.8,-1.4,0.7,10,4.4,13.1,8.8,7.2,1.1,2,13.6,12.7,F,BOS,willigr01
108,Evan Mobley,1.2,5046,2021-22,2022-23,20-21,148,148,13.7,113,108,5.2,8.5,0.131,-0.4,1.6,1.2,4,17.1,7.6,21.4,14.5,12,1.2,4.2,12.1,20.3,F-C,CLE,mobleev01
109,Franz Wagner,-0.4,5038,2021-22,2022-23,20-21,159,159,9.4,113,115,5.2,4.2,0.089,0,-0.4,-0.4,2,15.3,3.3,11.5,7.4,16.5,1.4,0.9,10.9,22.4,G-F,ORL,wagnefr01
110,Grayson Allen,0.2,5036,2020-21,2022-23,25-27,188,169,11.9,121,114,7.1,4.8,0.113,-0.1,0.2,0.2,2.8,12.6,2.4,10.4,6.5,9.9,1.5,0.7,8.9,15.4,G,MEMMIL,allengr01
111,Kenyon Martin Jr.,-1.1,5016,2020-21,2022-23,20-22,206,59,10,121,119,7.8,2.2,0.096,0,-1.1,-1.1,1.1,14.9,6,15.8,10.8,8.2,1,2,9.7,16.2,F,HOU,martike04
